cellIndex,embedding1,embedding2,cell_type
668,5.5061493,-1.465952,Pre-endocrine
669,4.2740517,0.43636364,Pre-endocrine
670,-10.394757,-1.5404475,Ngn3 low EP
671,-0.28488705,-4.770039,Ngn3 high EP
672,-10.257214,0.5974673,Ductal
673,1.8520205,-0.13704312,Epsilon
674,3.129408,-4.6822224,Pre-endocrine
675,9.573093,-1.0821378,Delta
676,-9.156252,-0.11224209,Ductal
677,5.5561476,-0.42209408,Pre-endocrine
678,2.128931,-3.753676,Pre-endocrine
679,7.454352,4.7424116,Alpha
680,5.9072666,-1.7836807,Pre-endocrine
681,0.9850494,-4.9177566,Ngn3 high EP
682,8.041279,4.3392005,Alpha
683,-8.50469,1.3226227,Ngn3 low EP
684,-2.2228851,-2.1408467,Ngn3 high EP
685,1.3638288,-4.65258,Ngn3 high EP
686,2.054683,-2.811783,Pre-endocrine
687,-0.075795814,-4.4785986,Ngn3 high EP
688,-2.1194677,-2.107204,Ngn3 high EP
689,7.0322948,4.2597427,Alpha
690,8.009162,-0.71730596,Delta
691,1.0852896,-4.6587224,Ngn3 high EP
692,-9.7159195,-0.12227653,Ductal
693,-8.191551,3.715213,Ductal
694,2.9814947,-3.7552702,Pre-endocrine
695,5.4983387,-0.57093394,Pre-endocrine
696,-10.202197,-0.8925783,Ductal
697,-10.150241,-0.6045948,Ductal
698,6.0752044,-0.5544035,Pre-endocrine
699,-12.279813,3.1063743,Ductal
700,3.6706321,-4.112052,Pre-endocrine
701,-10.154524,2.8643477,Ductal
702,-10.694879,5.47536,Ductal
703,7.3267903,1.4456513,Alpha
704,7.6239777,3.187923,Alpha
705,-9.961059,-0.8867857,Ductal
706,-1.101056,-4.0575314,Ngn3 high EP
707,-0.16251208,-5.3252525,Ngn3 high EP
708,-11.283522,0.044603314,Ductal
709,5.575412,-2.3438663,Pre-endocrine
710,-8.808432,-0.36995286,Ductal
711,8.729679,4.1440935,Alpha
712,-11.427239,-0.46630156,Ductal
713,-1.2683322,-3.6838882,Ngn3 high EP
714,2.3821218,-4.6063433,Pre-endocrine
715,-10.907879,4.2538347,Ngn3 low EP
716,5.8801265,0.56838137,Beta
717,4.7065225,2.3463678,Beta
718,4.00667,4.9194255,Beta
719,2.283068,0.66037744,Epsilon
720,1.8505882,0.111896366,Epsilon
721,6.785293,4.431556,Alpha
722,1.4777542,-4.524841,Ngn3 high EP
723,-10.277794,1.4377017,Ductal
724,5.942144,1.766176,Beta
725,7.5834384,4.4505143,Alpha
726,3.0853717,4.583045,Beta
727,8.285367,-1.2200638,Delta
728,8.033023,-0.9111782,Delta
729,-8.437112,1.2301481,Ductal
730,4.77883,-3.3480456,Pre-endocrine
731,-11.927929,4.1876063,Ductal
732,-10.368606,6.078955,Ductal
733,7.033562,-0.800655,Alpha
734,6.3701315,2.466626,Alpha
735,2.607772,6.3246536,Beta
736,5.2120266,-3.0106597,Pre-endocrine
737,-8.708529,-0.99163646,Ductal
738,4.9280047,2.629343,Beta
739,7.312854,3.9889958,Alpha
740,-0.8622384,-3.7854702,Ngn3 high EP
741,-1.8145659,-5.0031977,Ngn3 high EP
742,7.6014724,5.2961164,Alpha
743,-10.375722,1.3990651,Ductal
744,1.9699421,6.1561823,Beta
745,4.947356,2.4773445,Beta
746,-5.0191126,-3.474061,Ngn3 high EP
747,-10.519184,2.6232004,Ductal
748,-9.954751,4.9448876,Ductal
749,6.1548805,4.2736015,Alpha
750,4.810835,0.90955013,Beta
751,5.51902,-0.59328204,Pre-endocrine
752,-10.725629,0.9383698,Ductal
753,4.1469216,-3.428356,Pre-endocrine
754,-8.968454,-0.07752171,Ductal
755,-9.291567,3.0406547,Ductal
756,-11.206875,-0.28906962,Ductal
757,8.01076,4.472514,Alpha
758,3.5304859,-4.5128093,Pre-endocrine
759,5.358555,0.71096706,Beta
760,-2.6830041,-4.855157,Ngn3 high EP
761,3.573889,4.5033484,Beta
762,-2.5098548,-4.5203996,Ngn3 high EP
763,-2.2889428,-3.868046,Ngn3 high EP
764,5.146783,2.4179704,Beta
765,8.243985,-1.1225703,Delta
766,-7.085082,-1.3456707,Ngn3 high EP
767,5.9946775,0.44197053,Beta
768,-10.811634,1.0946742,Ngn3 low EP
769,6.8679185,4.9086423,Alpha
770,5.4242706,-0.564033,Pre-endocrine
771,5.0218706,-3.8443134,Pre-endocrine
772,7.7338424,2.6482522,Alpha
773,8.321515,5.0196886,Alpha
774,2.8263412,6.171387,Beta
775,4.219326,3.8157272,Beta
776,-11.461508,-0.6332342,Ductal
777,2.3931057,6.4435954,Beta
778,5.7730064,0.23036566,Pre-endocrine
779,-1.0253499,-5.191062,Ngn3 high EP
780,-3.8687463,-3.5387073,Ngn3 high EP
781,6.5964475,-1.8307757,Pre-endocrine
782,2.9501665,-4.5701513,Pre-endocrine
783,5.388852,-0.79524887,Pre-endocrine
784,-6.6294456,-0.85588384,Ngn3 high EP
785,7.9989095,2.5302532,Alpha
786,5.3808374,3.227848,Beta
787,-0.7585664,-4.9876814,Ngn3 high EP
788,6.0580835,0.0672515,Pre-endocrine
789,4.9454327,-3.3759665,Pre-endocrine
790,-0.23424393,-3.2442534,Ngn3 high EP
791,-9.52824,2.328013,Ductal
792,-7.9576926,2.8369882,Ngn3 low EP
793,5.9569707,3.7700467,Alpha
794,2.5283036,-0.29903635,Epsilon
795,8.068807,4.253376,Alpha
796,5.696753,-2.9416432,Pre-endocrine
797,-4.016222,-3.9840062,Ngn3 high EP
798,0.9236167,-2.600791,Pre-endocrine
799,3.7186334,3.8720613,Beta
800,6.47365,2.1498919,Alpha
801,-3.137932,-4.5055757,Ngn3 high EP
802,4.1523676,2.9436545,Beta
803,-10.597546,1.286914,Ductal
804,0.6865553,-4.0641522,Ngn3 high EP
805,-10.398348,6.1709146,Ductal
806,-11.357547,1.1865969,Ductal
807,-10.850251,4.5981035,Ductal
808,6.7281637,4.9337964,Alpha
809,-7.0637794,-2.283302,Ngn3 high EP
810,-7.360699,-2.1676614,Ngn3 high EP
811,4.6813827,-3.420947,Pre-endocrine
812,5.687521,1.5906152,Beta
813,-9.429916,4.6081686,Ductal
814,1.8021251,-4.8134375,Ngn3 high EP
815,-9.37147,3.0711405,Ductal
816,-10.431434,0.9016641,Ductal
817,7.1026998,0.41482085,Alpha
818,-5.055737,-3.1674373,Ngn3 high EP
819,-6.6127157,-2.0470583,Ngn3 high EP
820,-9.566257,3.2982864,Ductal
821,3.8297734,4.660017,Beta
822,-12.058939,4.4398685,Ductal
823,3.824639,3.9923325,Beta
824,-3.3303397,-4.3657594,Ngn3 high EP
825,-9.941822,-0.6156595,Ngn3 low EP
826,-11.566561,0.00945193,Ductal
827,-10.8900175,-1.3066156,Ductal
828,-7.6157537,-1.0140148,Ngn3 low EP
829,6.0264735,-2.5726972,Pre-endocrine
830,0.79025453,-3.0187109,Ngn3 high EP
831,6.4823675,4.200848,Alpha
832,-9.781419,4.1579947,Ngn3 low EP
833,4.7551274,-4.0054984,Pre-endocrine
834,-10.966447,-1.3892388,Ductal
835,6.8304343,-0.9722898,Pre-endocrine
836,-9.894813,0.9848932,Ductal
837,3.4815195,-0.46052364,Pre-endocrine
838,-10.23585,3.0177786,Ductal
839,6.9266024,-1.2936271,Pre-endocrine
840,8.952731,-1.2352407,Delta
841,-8.559136,2.8451557,Ngn3 low EP
842,7.4617233,0.11265071,Alpha
843,-2.0034108,-4.6948104,Ngn3 high EP
844,1.2557915,-4.5888705,Ngn3 high EP
845,5.4075723,-2.7113044,Pre-endocrine
846,5.066676,4.4889226,Beta
847,-12.087017,1.5589969,Ductal
848,-1.3170171,-4.0194035,Ngn3 high EP
849,5.6098657,0.5263863,Beta
850,-11.389115,1.9158776,Ductal
851,-0.5766591,-4.383288,Ngn3 high EP
852,3.532883,4.800346,Beta
853,4.3274517,-0.9248707,Pre-endocrine
854,-11.679147,2.7599142,Ductal
855,-9.026701,3.090956,Ductal
856,-9.372817,-0.6007146,Ductal
857,7.2306433,2.9313617,Alpha
858,2.5750844,6.5669007,Beta
859,-8.104586,3.2721229,Ductal
860,2.7735355,0.5654254,Epsilon
861,-4.643283,-3.2280283,Ngn3 high EP
862,-9.327528,-1.4761617,Ductal
863,4.935416,1.9824796,Beta
864,6.731877,4.876153,Alpha
865,1.400161,-4.419427,Ngn3 high EP
866,1.0052022,-3.9234662,Pre-endocrine
867,-11.040052,-0.2145382,Ductal
868,-10.748734,0.5757968,Ductal
869,7.2147193,2.9204834,Alpha
870,4.459526,4.489118,Beta
871,5.396626,-0.8183827,Pre-endocrine
872,4.215363,1.0666384,Pre-endocrine
873,-9.476435,-0.37104386,Ductal
874,-9.893807,-1.0331837,Ductal
875,-10.823965,5.34674,Ductal
876,-9.513916,0.12436558,Ductal
877,2.0381465,5.8971996,Beta
878,-0.6228996,-3.8373337,Ngn3 high EP
879,6.4701576,4.2691884,Alpha
880,-9.761232,-0.40667775,Ductal
881,-9.557959,4.1131682,Ngn3 low EP
882,4.213548,-3.9204996,Pre-endocrine
883,3.2818792,5.411738,Beta
884,-12.009616,3.2429476,Ductal
885,6.941162,-0.91295856,Pre-endocrine
886,0.013681008,-4.064048,Ngn3 high EP
887,7.760932,4.272995,Alpha
888,-7.084375,-1.8688343,Ngn3 high EP
889,5.819402,-0.5606409,Pre-endocrine
890,7.097826,4.504274,Alpha
891,-1.4529884,-3.6449916,Ngn3 high EP
892,2.401194,-3.5588784,Pre-endocrine
893,2.5960326,-2.145936,Pre-endocrine
894,-11.561457,5.0751514,Ductal
895,7.567952,4.949401,Alpha
896,-0.6031837,-3.9035156,Ngn3 high EP
897,4.977005,2.7595148,Beta
898,-8.71778,1.751783,Ductal
899,-11.281374,4.351461,Ductal
900,-9.81897,-1.448699,Ngn3 low EP
901,-11.705671,4.6431775,Ductal
902,-8.291375,3.2760758,Ductal
903,-10.852776,1.5193689,Ductal
904,0.60453975,-4.206972,Ngn3 high EP
905,-11.67965,4.587713,Ductal
906,7.1956205,-0.13698426,Alpha
907,8.056905,5.0164995,Alpha
908,1.9571474,-4.571048,Ngn3 high EP
909,5.5313163,0.30975738,Beta
910,8.460152,-1.0663002,Delta
911,-7.225375,-2.259921,Ngn3 high EP
912,4.833937,-2.3541636,Pre-endocrine
913,1.8807157,5.904348,Beta
914,-11.243677,4.4164834,Ngn3 low EP
915,2.9806314,2.3788333,Epsilon
916,-2.396533,-4.5295525,Ngn3 high EP
917,-11.52002,5.553624,Ductal
918,-10.582797,-0.33775386,Ductal
919,4.388681,0.13584013,Pre-endocrine
920,-5.121439,-3.7084095,Ngn3 high EP
921,-11.937838,0.6435228,Ductal
922,-9.957248,5.325384,Ductal
923,-8.519891,4.0246162,Ngn3 low EP
924,-8.164644,2.6234746,Ductal
925,2.609485,-3.651823,Pre-endocrine
926,5.5195093,4.336813,Alpha
927,5.8842974,1.4022509,Beta
928,-10.907012,5.0804434,Ductal
929,5.3836656,1.2236241,Beta
930,-2.5602107,-2.9617395,Ngn3 high EP
931,-5.4541802,-3.3558283,Ngn3 high EP
932,6.6127343,2.9315298,Alpha
933,-11.559559,0.02669921,Ductal
934,-10.381596,6.2112336,Ductal
935,-9.963687,-0.8775084,Ductal
936,-12.149435,3.7178593,Ductal
937,-10.544476,0.41303366,Ductal
938,-12.018254,2.3009818,Ductal
939,7.417243,-0.2897971,Alpha
940,-9.711366,0.43483868,Ductal
941,-11.88864,1.9938921,Ngn3 low EP
942,-8.297709,-1.7706131,Ductal
943,2.76907,5.8608265,Beta
944,7.400061,2.3805215,Alpha
945,-4.8283896,-3.1742628,Ngn3 high EP
946,5.457082,-0.83849823,Pre-endocrine
947,-10.013277,4.956621,Ductal
948,5.5857234,-2.9920208,Pre-endocrine
949,0.8146066,-4.770844,Ngn3 high EP
950,-10.944262,0.845046,Ductal
951,2.9955544,5.928018,Beta
952,-9.711817,-0.46284208,Ductal
953,6.6440673,2.5177476,Alpha
954,6.462068,2.8380911,Alpha
955,5.927425,-1.6325763,Pre-endocrine
956,7.763415,4.530352,Alpha
957,5.1989574,-0.32572925,Beta
958,-10.87,6.123208,Ductal
959,3.3049688,-4.4804287,Pre-endocrine
960,-6.7712617,-2.3241286,Ngn3 high EP
961,4.11683,5.118462,Beta
962,-4.23792,-3.3284132,Ngn3 high EP
963,-9.667707,1.6971505,Ductal
964,3.6782017,-4.614248,Pre-endocrine
965,-11.498204,-0.0330004,Ductal
966,9.267184,-1.1922368,Delta
967,-10.138056,-0.2455652,Ductal
968,4.2148595,2.2902572,Beta
969,-10.838547,-0.94042593,Ductal
970,5.464428,0.017999023,Beta
971,-3.8179834,-3.4453528,Ngn3 high EP
972,-10.4486885,0.47134116,Ductal
973,-10.902349,5.326665,Ductal
974,-9.7587595,0.2423785,Ductal
975,7.1247864,4.9113374,Alpha
976,3.3508441,5.5438113,Beta
977,3.1771665,-3.8969111,Pre-endocrine
978,1.4017875,-4.491197,Ngn3 high EP
979,3.497312,4.779709,Beta
980,2.7205696,4.915182,Beta
981,1.6007276,-0.1935067,Epsilon
982,-11.412879,4.3487186,Ductal
983,6.760431,-1.6469861,Pre-endocrine
984,8.271583,4.057217,Alpha
985,-6.133429,-2.5699167,Ngn3 high EP
986,-1.6511745,-3.6880586,Ngn3 high EP
987,-8.411717,1.1770095,Ngn3 low EP
988,2.7806094,0.24042784,Epsilon
989,2.9642417,-1.7708411,Pre-endocrine
990,3.6076992,2.541449,Epsilon
991,-11.21056,0.009992222,Ductal
992,6.0776763,3.2064805,Beta
993,3.5378742,2.5844326,Epsilon
994,4.094209,4.963853,Beta
995,-2.9314163,-3.4965558,Ngn3 high EP
996,-11.652732,2.0219119,Ductal
997,-11.626649,5.138137,Ductal
998,-10.303003,5.6044426,Ductal
999,-9.236272,-1.1816897,Ductal
1000,-11.675292,5.294537,Ductal
1001,-1.7001508,-4.6097093,Ngn3 high EP
1002,4.874976,-3.9440777,Pre-endocrine
1003,-9.723412,5.537963,Ductal
1004,3.4264266,2.393738,Epsilon
1005,-10.366406,0.49234748,Ductal
1006,2.7281106,-2.271968,Pre-endocrine
1007,6.705448,4.073849,Alpha
1008,3.7149236,4.707275,Beta
1009,2.7643242,-4.636431,Pre-endocrine
1010,3.177371,-4.5278583,Pre-endocrine
1011,3.9746444,4.132046,Beta
1012,5.737597,-1.327671,Pre-endocrine
1013,6.0866566,-2.3522217,Pre-endocrine
1014,6.8459525,4.8806863,Alpha
1015,-0.9032077,-3.9261105,Ngn3 high EP
1016,-11.529704,5.127883,Ductal
1017,-10.512287,6.090151,Ductal
1018,-10.920757,-0.06147105,Ductal
1019,-9.791931,-0.5245155,Ductal
1020,-2.9004357,-4.8375278,Ngn3 high EP
1021,-10.052244,-1.1624088,Ngn3 low EP
1022,0.51606363,-4.070285,Ngn3 high EP
1023,0.51600087,-5.1058545,Ngn3 high EP
1024,4.7586412,3.9066586,Beta
1025,3.0758135,1.7588075,Epsilon
1026,-11.985892,4.9859424,Ductal
1027,-2.7158902,-3.869902,Ngn3 high EP
1028,-10.775906,5.8763013,Ductal
1029,-9.930042,4.719982,Ductal
1030,-2.9289746,-4.4435763,Ngn3 high EP
1031,-9.798034,-1.3812926,Ngn3 low EP
1032,-11.263808,5.9572306,Ductal
1033,-10.489351,0.2288167,Ngn3 low EP
1034,-9.360669,1.7941029,Ductal
1035,3.7287414,-3.2727647,Pre-endocrine
1036,-4.518529,-3.4350255,Ngn3 high EP
1037,-11.890728,2.03812,Ductal
1038,-2.1175482,-4.139339,Ngn3 high EP
1039,-11.300392,-1.1916368,Ductal
1040,5.542148,-1.4525855,Pre-endocrine
1041,4.1965895,-4.2398696,Pre-endocrine
1042,-0.6570406,-3.467319,Ngn3 high EP
1043,7.918187,4.472039,Alpha
1044,-9.18339,-0.5053371,Ngn3 low EP
1045,3.0707061,5.5982947,Beta
1046,4.185972,-0.6343442,Pre-endocrine
1047,3.627469,-2.3629816,Pre-endocrine
1048,-12.113614,3.7085788,Ngn3 low EP
1049,3.0949497,4.0822134,Beta
1050,5.845837,-0.9991029,Pre-endocrine
1051,-10.57928,1.3531942,Ductal
1052,5.9668007,-0.04464989,Beta
1053,4.676017,3.5020888,Beta
1054,-9.561354,0.45304972,Ductal
1055,0.50112236,-2.9260707,Pre-endocrine
1056,5.303883,1.6822666,Beta
1057,6.259916,-1.7070044,Pre-endocrine
1058,2.207783,5.6842246,Beta
1059,-8.285477,-0.93505675,Ngn3 low EP
1060,-4.8976345,-2.7684689,Ngn3 high EP
1061,-11.788116,1.8775017,Ductal
1062,-8.618556,-1.1526488,Ngn3 low EP
1063,2.8042812,4.4819536,Beta
1064,-8.267442,3.6472569,Ngn3 low EP
1065,4.6824923,0.3941121,Pre-endocrine
1066,3.326241,-4.265512,Pre-endocrine
1067,5.115173,-3.5923386,Pre-endocrine
1068,7.685077,2.2391577,Alpha
1069,6.667546,4.6028905,Alpha
1070,4.4547095,2.0102932,Alpha
1071,7.7738223,2.8140883,Alpha
1072,3.7063935,-3.5862,Pre-endocrine
1073,1.7631501,0.09848363,Epsilon
1074,-10.458076,3.2308547,Ductal
1075,-0.78509057,-3.5031822,Ngn3 high EP
1076,4.950829,1.9616107,Beta
1077,-9.363231,5.0457234,Ngn3 low EP
1078,3.5803874,-4.2653656,Pre-endocrine
1079,-10.228986,1.1681406,Ductal
1080,-8.731584,-0.754263,Ductal
1081,-3.2214863,-4.541113,Ngn3 high EP
1082,5.3488913,0.48823047,Beta
1083,7.2491794,1.1239522,Alpha
1084,-9.106795,3.7825587,Ngn3 low EP
1085,-1.2369653,-4.26118,Ngn3 high EP
1086,4.3242874,-3.2827294,Pre-endocrine
1087,5.66651,-2.272631,Pre-endocrine
1088,3.8735611,4.9714055,Beta
1089,6.2888494,2.357752,Alpha
1090,-10.685843,6.2872624,Ductal
1091,1.5530397,-4.556798,Ngn3 high EP
1092,-6.9532866,-2.4427943,Ngn3 high EP
1093,6.580894,-0.8813169,Pre-endocrine
1094,5.110179,-0.65286154,Pre-endocrine
1095,-9.76578,0.6973228,Ductal
1096,4.929497,2.9962478,Beta
1097,-10.111404,2.5510674,Ductal
1098,-10.248005,-1.4406672,Ductal
1099,5.637778,0.13977742,Pre-endocrine
1100,7.723612,4.677212,Alpha
1101,-9.368842,-0.13359381,Ductal
1102,4.193206,-0.57754254,Pre-endocrine
1103,-10.57519,6.3663063,Ductal
1104,1.9309949,5.4640994,Beta
1105,-12.318574,2.9573407,Ductal
1106,7.886614,3.8780625,Alpha
1107,3.4004338,4.2555666,Beta
1108,0.12786193,-3.2639813,Ngn3 high EP
1109,7.8251843,1.0759209,Alpha
1110,2.547651,4.784365,Beta
1111,-4.874323,-2.5297995,Ngn3 high EP
1112,-11.6858225,4.0219517,Ductal
1113,8.033713,1.9235836,Alpha
1114,-11.327361,5.6863484,Ductal
1115,-10.353292,-1.2962368,Ductal
1116,-10.939264,5.2197967,Ductal
1117,-8.658118,0.06533457,Ngn3 low EP
1118,-12.354056,3.19142,Ductal
1119,3.4356675,4.522698,Beta
1120,1.9710128,5.5493636,Beta
1121,8.69291,-1.0775985,Delta
1122,6.3937573,2.3508236,Alpha
1123,-9.322037,2.313391,Ductal
1124,1.9517372,-3.6101,Pre-endocrine
1125,-10.610152,6.327206,Ductal
1126,5.2992864,-3.236077,Pre-endocrine
1127,7.686924,4.105818,Alpha
1128,2.0832539,-0.43325984,Epsilon
1129,-10.127355,-1.3601911,Ductal
1130,7.975042,5.0593224,Alpha
1131,-2.24166,-4.509757,Ngn3 high EP
1132,-10.781892,0.26030186,Ngn3 low EP
1133,5.9560375,1.9101647,Alpha
1134,-8.179758,-1.5600168,Ngn3 low EP
1135,9.005637,-1.3545862,Delta
1136,5.1327252,0.2178616,Beta
1137,7.09317,-1.0801405,Pre-endocrine
1138,-9.698605,-1.6005168,Ductal
1139,-5.5187593,-2.8590412,Ngn3 high EP
1140,-9.628373,1.1125158,Ngn3 low EP
1141,5.4944234,-2.297533,Pre-endocrine
1142,-0.8257158,-3.857699,Ngn3 high EP
1143,7.163431,-0.09252501,Alpha
1144,9.338699,-1.289657,Delta
1145,-11.168543,-0.49517328,Ductal
1146,-11.68967,4.9110513,Ductal
1147,-3.9621499,-3.3797982,Ngn3 high EP
1148,7.427266,-0.20830852,Alpha
1149,-8.788683,-1.9089465,Ngn3 low EP
1150,-2.9155786,-4.4667654,Ngn3 high EP
1151,3.0648134,5.6781917,Beta
1152,-4.2179413,-3.6094508,Ngn3 high EP
1153,-3.5229168,-3.8482993,Ngn3 high EP
1154,-10.464448,0.58163744,Ductal
1155,-7.354401,-1.955172,Ngn3 high EP
1156,-2.2293453,-3.7069468,Ngn3 high EP
1157,4.849149,3.105389,Beta
1158,6.2633734,1.510778,Alpha
1159,6.5655465,-0.9373272,Pre-endocrine
1160,1.6145461,-4.5537934,Ngn3 high EP
1161,2.9562123,-3.7305536,Pre-endocrine
1162,8.3878975,-1.2108883,Delta
1163,-0.58671534,-4.2824984,Ngn3 high EP
1164,5.5756135,-3.2693503,Pre-endocrine
1165,-0.9014218,-4.202152,Ngn3 high EP
1166,5.466826,-2.9052207,Pre-endocrine
1167,-10.118364,4.9717317,Ductal
1168,0.26788017,-4.953174,Ngn3 high EP
1169,-5.937748,-2.6495378,Ngn3 high EP
1170,5.349702,-0.17801665,Beta
1171,2.2260094,5.488763,Beta
1172,7.4874144,0.5015053,Alpha
1173,8.040784,4.8250465,Alpha
1174,7.5338655,3.7064486,Alpha
1175,3.067457,-4.0309076,Pre-endocrine
1176,-7.583224,-1.5059949,Ductal
1177,7.21034,-0.5892341,Alpha
1178,-9.742266,5.4478664,Ductal
1179,-11.334812,1.4711691,Ductal
1180,-11.598212,4.3640466,Ductal
1181,8.212118,4.360341,Alpha
1182,-9.188028,-1.482082,Ngn3 low EP
1183,2.8738482,-3.4470208,Pre-endocrine
1184,7.864521,4.867264,Alpha
1185,5.9649954,3.0703049,Beta
1186,2.3046224,5.7971272,Beta
1187,4.0974393,1.6428165,Beta
1188,-10.027447,-1.4341526,Ductal
1189,8.193872,4.9439235,Alpha
1190,8.743024,4.3809557,Alpha
1191,7.2731524,-0.2310215,Alpha
1192,5.066644,2.2794752,Beta
1193,4.853503,2.0651007,Beta
1194,5.180225,-1.5708454,Pre-endocrine
1195,-8.886909,1.1592594,Ductal
1196,-11.109609,0.71739817,Ductal
1197,-9.862441,5.084946,Ngn3 low EP
1198,-10.592611,1.8105203,Ductal
1199,-12.084591,3.7572374,Ngn3 low EP
1200,-3.2772334,-4.4983983,Ngn3 high EP
1201,2.4498875,5.368471,Beta
1202,-10.243672,2.0604055,Ductal
1203,-10.958335,5.400731,Ductal
1204,-4.9279985,-2.9582684,Ngn3 high EP
1205,-8.305373,3.681302,Ngn3 low EP
1206,-3.3754046,-3.5500047,Ngn3 high EP
1207,-9.979188,-0.24645889,Ngn3 low EP
1208,6.2876577,-2.516976,Pre-endocrine
1209,-9.455832,-1.3323106,Ngn3 low EP
1210,4.3630466,3.8913958,Beta
1211,4.137168,-3.7970066,Pre-endocrine
1212,4.4048343,1.4154721,Alpha
1213,0.27477622,-4.9695706,Ngn3 high EP
1214,-1.3084936,-3.9958751,Ngn3 high EP
1215,7.659285,0.24980019,Alpha
1216,-5.2333817,-3.1306307,Ngn3 high EP
1217,6.937035,1.765049,Alpha
1218,-0.43764904,-5.2911716,Ngn3 high EP
1219,0.8699783,-2.8846743,Pre-endocrine
1220,-12.009092,2.5057461,Ductal
1221,6.0815606,0.41215712,Beta
1222,7.3630056,4.100306,Alpha
1223,1.8351253,0.13763456,Epsilon
1224,3.044277,0.94836736,Epsilon
1225,4.6554956,1.8688449,Beta
1226,9.497103,-1.3076282,Delta
1227,-9.397498,4.352203,Ductal
1228,3.6592538,2.0078883,Epsilon
1229,-1.0398357,-3.5865104,Ngn3 high EP
1230,-1.4907638,-4.624357,Ngn3 high EP
1231,0.28464106,-3.4825952,Ngn3 high EP
1232,4.5488763,-3.973254,Pre-endocrine
1233,7.761815,3.5372648,Alpha
1234,4.237955,4.920153,Beta
1235,-0.7669375,-3.4361296,Ngn3 high EP
1236,3.9834306,0.6281417,Pre-endocrine
1237,-9.246078,-1.5526978,Ductal
1238,-10.041672,5.1744127,Ductal
1239,-11.371448,5.7895517,Ductal
1240,-8.140586,-0.77152145,Ngn3 low EP
1241,7.6138535,4.7971206,Alpha
1242,7.518338,4.8066134,Alpha
1243,4.5754743,3.7490995,Beta
1244,8.002293,1.6598301,Alpha
1245,3.9163551,2.1952298,Alpha
1246,7.419462,-0.45063713,Alpha
1247,-3.293437,-4.191907,Ngn3 high EP
1248,7.5704074,1.8990686,Alpha
1249,3.365134,4.9643884,Beta
1250,4.7644186,3.4180462,Beta
1251,3.1945355,1.996799,Epsilon
1252,-8.925347,0.55815333,Ductal
1253,3.0689678,2.3176534,Epsilon
1254,7.2925177,1.1351821,Alpha
1255,1.9928253,5.7459736,Beta
1256,5.485357,0.45394525,Beta
1257,-11.295242,4.0542364,Ductal
1258,3.631953,4.9901485,Beta
1259,-9.965864,2.838431,Ductal
1260,5.490172,-0.7741029,Pre-endocrine
1261,5.1208754,0.5209867,Beta
1262,-9.977473,-0.742612,Ductal
1263,-12.423415,2.7055714,Ductal
1264,3.128067,-3.423096,Pre-endocrine
1265,-6.418795,-2.6564307,Ngn3 high EP
1266,-9.225705,0.66171426,Ductal
1267,3.1128385,-3.611977,Pre-endocrine
1268,2.374868,1.188128,Epsilon
1269,1.2152631,-4.018548,Ngn3 high EP
1270,4.0236135,-3.7686691,Pre-endocrine
1271,-10.146718,4.537281,Ngn3 low EP
1272,0.32116657,-3.9701164,Ngn3 high EP
1273,-11.222027,4.687574,Ductal
1274,5.5654874,-0.7596688,Pre-endocrine
1275,7.3327374,3.2172017,Alpha
1276,4.085453,-3.863362,Pre-endocrine
1277,7.7316318,4.1415095,Alpha
1278,-10.398573,0.42162645,Ductal
1279,-9.082766,1.3632891,Ductal
1280,-10.579467,-0.4756156,Ductal
1281,5.4455624,1.8456227,Beta
1282,7.1989903,-1.0405041,Alpha
1283,-6.022319,-3.280653,Ngn3 high EP
1284,3.5248263,4.676948,Beta
1285,6.5864143,-0.33710805,Pre-endocrine
1286,-2.974261,-3.76936,Ngn3 high EP
1287,-3.243448,-4.4400764,Ngn3 high EP
1288,-10.360915,0.8476447,Ductal
1289,2.8395598,1.943031,Epsilon
1290,5.261005,-2.8992105,Pre-endocrine
1291,1.7204286,-1.250188,Pre-endocrine
1292,1.5522596,-1.1258314,Epsilon
1293,-11.502334,4.539966,Ductal
1294,-11.6541815,4.832352,Ductal
1295,-9.8143425,4.3440456,Ngn3 low EP
1296,-2.5133247,-3.7956867,Ngn3 high EP
1297,4.9267263,2.354707,Beta
1298,-1.6367625,-4.824825,Ngn3 high EP
1299,-10.273457,5.7250457,Ductal
1300,-0.03556466,-3.4583137,Ngn3 high EP
1301,-7.8180666,-1.2852892,Ductal
1302,3.4230335,4.271681,Beta
1303,3.2298162,3.4934914,Beta
1304,-8.984437,3.205006,Ductal
1305,-9.477649,3.2712142,Ductal
1306,4.8611736,2.7158697,Beta
1307,2.0200393,-4.661959,Ngn3 high EP
1308,6.7479267,2.6152132,Alpha
1309,0.7911129,-5.110008,Ngn3 high EP
1310,-11.529861,4.7457976,Ductal
1311,-8.106027,-1.0873271,Ngn3 low EP
1312,7.7982125,2.6168234,Alpha
1313,7.1680336,-0.66066617,Alpha
1314,3.3815873,4.224986,Beta
1315,-2.5973487,-4.2763047,Ngn3 high EP
1316,-11.271465,5.2765937,Ductal
1317,-9.2454,1.1743417,Ductal
1318,4.6152015,2.8084078,Beta
1319,-8.533458,-1.2623851,Ngn3 low EP
1320,7.21565,0.9752158,Alpha
1321,-9.659244,0.3062603,Ductal
1322,5.4312334,1.1781543,Beta
